age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
21.0,1,3.23,2.01,0.89,4.55,7.55,248.0,154.0,3.95,1,1,2,0
24.0,2,5.09,3.81,2.24,4.44,7.66,127.0,71.0,6.71,1,1,2,0
31.0,2,6.06,1.36,3.83,2.35,4.92,44.0,106.0,8.68,2,0,1,0
21.0,2,4.38,1.38,2.72,3.78,6.23,172.0,134.0,6.2,2,1,2,0
27.0,2,5.16,1.82,2.27,0.93,7.79,228.0,32.0,8.1,2,1,2,0
32.0,1,4.09,1.74,1.35,3.74,5.54,76.0,16.0,4.77,2,1,2,0
21.0,1,3.87,2.87,1.69,3.07,7.78,192.0,180.0,4.62,1,0,2,0
24.0,2,4.71,2.97,1.69,2.03,5.62,39.0,128.0,7.23,2,1,2,0
34.0,0,5.85,1.93,2.68,2.23,5.7,53.0,180.0,7.1,1,1,2,0
21.0,2,3.66,1.67,1.06,5.63,8.46,245.0,77.0,5.08,0,0,1,0
35.0,0,4.33,1.2,1.23,5.44,8.08,240.0,25.0,7.08,0,1,2,0
18.0,2,5.73,1.66,3.14,3.84,5.95,133.0,128.0,7.92,2,0,2,0
19.0,0,4.86,2.81,3.62,3.71,7.63,239.0,162.0,6.31,0,0,1,0
23.0,0,3.45,2.59,0.85,2.3,7.93,117.0,86.0,5.83,1,0,2,0
22.0,0,5.15,3.1,0.46,5.71,6.59,85.0,109.0,6.07,2,1,2,0
25.0,0,5.76,3.7,1.89,3.42,6.41,210.0,155.0,7.09,2,0,1,0
31.0,0,7.05,3.77,1.17,1.77,7.68,199.0,131.0,7.73,0,0,1,0
19.0,1,4.69,2.49,3.03,3.94,7.92,72.0,83.0,6.56,1,0,1,0
29.0,0,4.97,1.55,1.0,4.66,7.95,194.0,50.0,7.04,2,1,1,0
29.0,2,3.98,1.79,0.1,5.36,7.03,176.0,71.0,6.1,2,0,1,0
31.0,2,4.05,0.75,0.15,5.98,5.02,80.0,152.0,4.89,1,0,1,0
29.0,0,7.62,1.1,2.02,5.7,4.7,220.0,148.0,8.87,2,1,1,0
34.0,1,5.65,3.28,1.72,4.86,5.01,187.0,156.0,7.95,0,0,1,0
31.0,1,6.05,2.99,1.66,1.02,6.42,190.0,80.0,7.49,0,0,1,0
20.0,0,3.84,1.03,2.96,4.96,7.0,170.0,158.0,5.74,2,1,1,0
34.0,2,4.94,2.81,1.36,2.54,7.75,218.0,160.0,6.93,0,1,2,0
27.0,0,5.95,0.54,2.99,1.47,6.21,200.0,73.0,7.7,2,0,2,0
19.0,0,6.93,3.03,0.31,2.22,6.43,123.0,178.0,8.47,0,0,1,0
21.0,2,4.32,1.58,2.41,4.68,7.45,65.0,175.0,6.06,2,0,1,0
28.0,1,4.36,0.88,1.77,2.17,5.74,34.0,105.0,6.13,1,0,1,0
24.0,1,5.89,3.12,0.6,0.84,4.97,250.0,102.0,8.85,0,1,2,0
29.0,1,3.16,2.2,3.8,2.38,7.95,69.0,72.0,6.16,0,1,1,0
25.0,0,5.71,0.76,1.68,4.87,6.56,48.0,142.0,7.7,0,1,2,0
31.0,0,3.01,2.44,2.28,1.53,7.51,154.0,107.0,3.68,2,1,1,0
20.0,0,5.95,2.13,1.78,4.45,5.25,133.0,104.0,7.57,2,0,1,0
32.0,2,4.93,3.87,2.78,5.99,5.4,54.0,33.0,6.56,2,0,2,0
22.0,0,5.13,3.22,1.44,3.65,6.6,161.0,48.0,7.16,0,1,1,0
22.0,2,4.54,3.93,3.61,2.36,8.66,30.0,22.0,5.24,2,0,2,0
29.0,1,7.63,1.08,0.97,1.17,6.52,56.0,39.0,8.26,1,0,1,0
29.0,2,5.98,1.1,1.67,2.19,8.54,243.0,176.0,6.55,1,0,2,0
32.0,2,5.82,1.33,2.76,2.76,7.99,140.0,30.0,8.08,2,1,1,0
33.0,1,7.73,2.23,0.69,5.52,6.04,110.0,179.0,10.24,1,0,1,0
34.0,2,5.03,1.78,0.4,2.32,6.63,194.0,50.0,5.54,2,1,1,0
33.0,0,7.3,1.6,3.86,2.27,7.41,216.0,37.0,9.43,0,1,1,0
21.0,1,3.56,3.51,2.02,3.65,5.17,103.0,148.0,5.16,2,1,1,0
35.0,1,6.82,2.59,0.92,3.03,5.2,68.0,43.0,7.4,2,0,1,0
24.0,1,3.61,3.77,1.79,4.2,8.42,82.0,26.0,5.12,0,1,2,0
31.0,2,6.67,2.15,0.74,3.46,5.58,77.0,91.0,9.31,0,0,1,0
29.0,1,5.82,0.75,3.46,4.58,4.57,161.0,164.0,7.77,1,0,2,0
28.0,1,5.07,3.63,0.98,3.53,8.75,106.0,80.0,7.48,1,0,1,0
